searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
4,口実='こうじつ',"excuse, pretext",Noun,,,
,,,,,,
5,"悔しい='くやしい', 口惜しい='くやしい, くちおしい', 悔やしい='くやしい'","vexing, annoying, frustrating, regrettable, mortifying",I-adjective,,,
,,,,,,
6,口頭='こうとう',"oral, verbal, parol","Noun, No-adjective",,,
,,,,,,
7,口述='こうじゅつ',"dictation, verbal statement","Noun, Suru verb, No-adjective",,,
,,,,,,
8,"口吟む='くちずさむ', 口遊む='くちずさむ', 口号む='くちずさむ', 口ずさむ='くちずさむ'","to hum, to sing to oneself, to compose impromptu (poems)","Godan verb with mu ending, Transitive verb",,,
,,,,,,
9,口語='こうご',"spoken language, colloquial speech","Noun, No-adjective",,,
,,literary style based on (modern) spoken language,,,,
,,Colloquialism,,,,
,,,,,,
10,口内炎='こうないえん',"mouth ulcer, stomatitis",Noun,,,
,,Mouth ulcer,,,,
,,,,,,
11,口臭='こうしゅう',"bad breath, halitosis",Noun,,,
,,Halitosis,,,,
,,,,,,
12,口論='こうろん',"quarrel, argument, row, (verbal) dispute","Noun, Suru verb",,,
,,,,,,
13,口調='くちょう',"tone (e.g. of voice, etc.), (verbal) expression",Noun,,,
,,,,,,
14,口座='こうざ',account (e.g. bank),Noun,,,
,,,,,,
15,"口ぶり='くちぶり', 口振り='くちぶり'",way of speaking,Noun,,,
,,intimation,,,,
,,,,,,
16,"口さき='くちさき', 口先='くちさき'","lip service, mere words, professions",Noun,,,
,,"lips, mouth, snout, proboscis",,,,
,,,,,,
17,"口癖='くちぐせ', 口ぐせ='くちぐせ'","pet saying, favorite phrase (favorite), stock phrase",Noun,,,
,,manner of talking,,,,
,,,,,,
18,"口々='くちぐち', 口口='くちぐち'","each entrance, every mouth",Noun,,,
,,,,,,
19,"口ごたえ='くちごたえ', 口応え='くちごたえ', 口答え='くちごたえ'","retort, back talk","Noun, Suru verb",,,
,,,,,,
20,"口出し='くちだし', 口だし='くちだし'","interference, meddling, butting in","Noun, Suru verb",,,
明言,,,,,,
1,明言='めいげん',"declaration, statement","Noun, Suru verb",,,
