searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
,,"browsing (the WWW, Internet), web browsing",,,,
,,,,,,
2,閲覧室='えつらんしつ',"inspection room, reading room",Noun,,,
,,,,,,
3,閲覧注意='えつらんちゅうい',"viewer discretion advised, not safe for work, NSFW","Expression, Noun",,,
,,,,,,
4,閲覧中='えつらんちゅう',"while browsing the web, now watching (in the context of a chat room)",Expression,,閲覧,
,,,,,,
5,閲覧者='えつらんしゃ',"reader, (website) visitor",Noun,,,
中庭,,,,,,
1,中庭='なかにわ',"courtyard, quadrangle, middle court",Noun,,,
,,Courtyard,,,,
,,,,,,
2,中庭健介='no reading provided',Kensuke Nakaniwa,Wikipedia definition,,,
常識,,,,,,
1,常識='じょうしき',"common sense, good sense, common knowledge, general knowledge, common practice, accepted practice, social etiquette",Noun,,,
,,Common sense,,,,
,,,,,,
2,常識的='じょうしきてき',"ordinary, sensible, commonplace",Na-adjective,,,
,,,,,,
3,常識に欠ける='じょうしきにかける',to lack in common sense,"Expression, Ichidan verb",,,
,,,,,,
4,常識哲学='じょうしきてつがく',philosophy of common sense,Noun,,,
,,,,,,
5,常識判断='じょうしきはんだん',commonsense judgement,Noun,,,
,,,,,,
6,"常識はずれ='じょうしきはずれ', 常識外れ='じょうしきはずれ'","unconventional, eccentric, offbeat, aberrant, outlandish, crazy","No-adjective, Na-adjective, Noun",,,
,,,,,,
7,常識家='じょうしきか',sensible person,Noun,,,
,,,,,,
8,常識学派='じょうしきがくは',(Scottish) School of Common Sense,Noun,,常識哲学,
,,,,,,
9,常識の範囲内='じょうしきのはんいない',within the bounds of common sense,"Expression, Noun",,,
,,,,,,
10,常識人='じょうしきじん',"person of common sense, common sense man",Noun,,,
達成,,,,,,
1,"たっ成='たっせい', 達成='たっせい'","achievement, attainment, accomplishment, realization","Noun, Suru verb",,,
,,,,,,
2,達成度='たっせいど',level of achievement,Noun,,,
,,,,,,
3,達成感='たっせいかん',sense of accomplishment,Noun,,,
,,,,,,
4,達成可能='たっせいかのう',"achievable, attainable","Noun, Na-adjective",Yojijukugo (four character compound),,
,,,,,,
5,達成のレベル='たっせいのレベル',level of performance,Noun,Computer terminology,,
仇名,,,,,,
1,"渾名='あだな, こんめい', あだ名='あだな', 諢名='あだな, こんめい', 綽名='あだな', 仇名='あだな'",nickname,"Noun, Suru verb",,,
,,,,,,
2,"徒名='あだな', 仇名='あだな'",rumor of a romance (rumour),Noun,,,
仰天,,,,,,
1,仰天='ぎょうてん',"being amazed, being horrified, being taken aback","Noun, Suru verb",,,
,,,,,,
2,仰天人間バトシーラー='no reading provided',Gyōten Ningen Batseelor,Wikipedia definition,,,
頰,,,,,,
1,"頰='ほお, ほほ', 頬='ほお, ほほ'",cheek (of face),Noun,,,
,,Cheek,,,,
,,,,,,
2,"頰っぺた='ほっぺた', 頬っ辺='ほっぺた', 頬っぺた='ほっぺた', 頰っ辺='ほっぺた'",cheek,Noun,"Colloquialism, Usually written using kana alone",頬っぺ,
,,,,,,
3,"頬被り='ほおかぶり, ほおかむり', 頬かぶり='ほおかぶり', 頬かむり='ほおかむり', 頰冠り='ほおかぶり'","covering one's head with a handkerchief, scarf, etc., tying a cloth around one's head","Noun, Suru verb",,,
,,"feigning ignorance, shutting one's eyes (to)",,,,
末っ子,,,,,,
1,末っ子='すえっこ',youngest child,Noun,,,
対偶,,,,,,
1,"対遇='たいぐう', 対偶='たいぐう'","pair, couple","Noun, Suru verb, No-adjective",,,
,,contraposition,,,,
,,,,,,
2,対偶 (論理学)='no reading provided',Contraposition,Wikipedia definition,,,
途方,,,,,,
1,途方='とほう',"way, destination, reason",Noun,,途方に暮れる,
,,,,,,
2,"途方も無い='とほうもない', 途方もない='とほうもない'","extraordinary, preposterous, outrageous, absurd","Expression, I-adjective",,,
,,,,,,
3,"途方にくれる='とほうにくれる', 途方に暮れる='とほうにくれる'","to be at a loss, to be puzzled","Expression, Ichidan verb",,,
,,,,,,
4,途方に暮れる三人の夜='no reading provided',Three Bewildered People in the Night,Wikipedia definition,,,
羽織,,,,,,
1,羽織='はおり',haori (Japanese formal coat),Noun,,,
,,,,,,
2,羽織る='はおる',to put on,"Godan verb with ru ending, Transitive verb",,,
,,,,,,
3,羽織芸者='はおりげいしゃ',geisha from the Fukagawa red light district in Edo (Edo period),Noun,Colloquialism,辰巳芸者,
,,,,,,
4,"羽織紐='はおりひも', 羽織ひも='はおりひも'",string tied across the open chest of a haori,Noun,,,
,,,,,,
5,"no kanji='ハオリムシ', 羽織虫='はおりむし'",vestimentiferan (any tube worm of order Vestimentifera),Noun,Usually written using kana alone,,
,,,,,,
6,羽織袴='はおりはかま',Japanese male formal attire,Noun,,,
細いそれ,,,,,,
1,細い='ほそい',"thin, slender, fine",I-adjective,,,
,,unlucky (billiards slang),,,,
,,,,,,
2,細い='こまい',"small, fine, minute",I-adjective,,,
,,"stingy, cheap",,,,
,,,,,,
3,細い糸='ほそいいと',fine thread,"Expression, Noun",,,
,,,,,,
4,細い字='ほそいじ',slender character,"Expression, Noun",,,
転売,,,,,,
1,転売='てんばい',resale,"Noun, Suru verb",,,
生憎,,,,,,
1,"生憎='あいにく', 合憎='あいにく'","unfortunately, Sorry, but ...","Na-adjective, Adverb, Noun, No-adjective",Usually written using kana alone,,
どうにか,,,,,,
1,no kanji='どうにか',"in some way or other, one way or another, somehow, only just, barely","Adverb, Suru verb",,,
,,,,,,
2,no kanji='どうにかこうにか',somehow or other,Expression,,,
,,,,,,
3,no kanji='どうにかして',"by any means (possible), somehow",Expression,,,
妥当,,,,,,
1,妥当='だとう',"valid, proper, right, appropriate, reasonable","Na-adjective, Noun",,,
,,,,,,
2,妥当性='だとうせい',"validity, verification, propriety",Noun,,,
,,Validity,,,,
,,,,,,
3,妥当性確認試験='だとうせいかくにんしけん',validation (test),Noun,Computer terminology,,
本音,,,,,,
1,本音='ほんね',"real intention, motive, true opinion, what one really thinks",Noun,,,
,,,,,,
2,"本音をいう='ほんねをいう', 本音を言う='ほんねをいう'","to speak one's mind, to be frank, to tell the truth, to be brutally honest","Expression, Godan verb with u ending",,,
,,,,,,
3,本音と建前='no reading provided',Honne and tatemae,Wikipedia definition,,,
人工的,,,,,,
1,人工的='じんこうてき',"artificial, unnatural",Na-adjective,,,
か,,,,,,
1,課='か',lesson,"Noun, Noun - used as a suffix",,,
,,"section (in an organization), division, department",,,,
,,counter for lessons and chapters (of a book),,,,
,,,,,,
2,可='か',"passable, acceptable, tolerable, fair","Noun, Noun - used as a suffix",,,
,,,,,,
3,"no kanji='カ', 蚊='か'",mosquito,Noun,,,
,,,,,,
4,no kanji='か',indicates a question (sometimes rhetorical),Particle,,,
,,"or, whether or not",,,,
,,"some- (e.g. something, someone)",,,,
,,"indicates doubt, uncertainty, etc.",,,,
,,emphatic prefix,,,,
,,suffix forming adjectives or adverbs,,,,
,,in that way,,,,
,,Ka (kana),,,,
,,,,,,
5,"箇='か', no kanji='カ', 个='か', 個='か'","counter for the ichi-ni-san counting system (usu. directly preceding the item being counted), a noun read using its on-yomi",Counter,,,
,,Mosquito,,,,
,,,,,,
6,科='か',"department, section, faculty, school, arm","Noun, Noun - used as a suffix",,,
,,"course (of study), branch of study, specialization",,,,
,,(taxonomical) family,,,,
,,,,,,
7,化='か',"action of making something, -ification",Suffix,,化する,
,,,,,,
8,加='か',"addition, increase",Noun,,,
,,Canada,,,,
,,Ka,,,,
,,,,,,
9,架='か',"rack, mount, stand",Noun,,,
,,,,,,
10,家='か',"-ist, -er",Suffix,,政治家,
光景,,,,,,
1,光景='こうけい',"scene, spectacle, sight, view",Noun,,,
面食らう,,,,,,
1,"面くらう='めんくらう', 面喰らう='めんくらう', 面食らう='めんくらう'","to be confused, to be bewildered, to be taken aback","Godan verb with u ending, intransitive verb",,,
持ち合わせ,,,,,,
1,"持ち合わせ='もちあわせ', 持ちあわせ='もちあわせ', 持合わせ='もちあわせ', 持ち合せ='もちあわせ', 持合せ='もちあわせ'","things on hand, things in stock",Noun,,,
,,"money on hand, money in one's wallet",,,,
,,"on hand, in stock",,,,
,,,,,,
2,"持ちあわせる='もちあわせる', 持ち合せる='もちあわせる', 持ち合わせる='もちあわせる'",to happen to have on hand or in stock,"Ichidan verb, Transitive verb",,,
太い,,,,,,
1,太い='ふとい',"fat, thick",I-adjective,,,
,,deep (of a voice),,,,
,,"daring, shameless, brazen",,,,
,,lucky (billiards),,,,
,,,,,,
2,太い腕='ふというで',"big arm, brawny arm","Expression, Noun",,,
,,,,,,
3,太い鉛筆='ふといえんぴつ',broad pencil,Noun,,,
,,,,,,
4,太い眉毛='ふといまゆげ',thickened eyebrows,Noun,,,
,,,,,,
5,太い声='ふといこえ',"deep voice, rich voice, full voice",Expression,,,
屑,,,,,,
1,"屑='くず', no kanji='クズ'","waste, scrap, garbage, dregs","Noun, Noun or verb acting prenominally",Usually written using kana alone,,
,,chad,,,,
,,Kudzu,,,,
,,,,,,
2,"屑籠='くずかご', 屑篭='くずかご', クズ籠='クズかご', くず篭='くずかご', no kanji='クズカゴ', 屑かご='くずかご', 屑カゴ='くずカゴ', くず籠='くずかご', クズ篭='クズかご'","wastebasket, wastepaper basket",Noun,,,
,,,,,,
3,"潔しとしない='いさぎよしとしない', 屑しとしない='いさぎよしとしない'","find it against one's conscience (to do), too proud (to do)","Expression, I-adjective",,,
,,,,,,
4,"屑物='くずもの', くず物='くずもの'","trash, junk, garbage",Noun,,,
,,worthless product,,,,
,,,,,,
5,屑拾い='くずひろい',"ragpicking, ragpicker",Noun,,,
,,,,,,
6,"くず入れ='くずいれ', 屑入れ='くずいれ'","wastebasket, dustbin",Noun,,,
,,,,,,
7,"くず米='くずごめ, くずまい', 屑米='くずごめ, くずまい'","rice fragments, broken rice, crushed rice",Noun,,,
,,,,,,
8,"屑穴子='くずあなご', no kanji='クズアナゴ'",duck-billed eel (Nettastoma parviceps),Noun,Usually written using kana alone,,
,,,,,,
9,"屑屋='くずや', くず屋='くずや'","ragman, junkman, garbage man",Noun,Sensitive,,
,,,,,,
10,"くず屋さん='くずやさん', 屑屋さん='くずやさん'","ragman, junkman, garbage man",Noun,,,
とんでもない,,,,,,
1,"とんでも無い='とんでもない', 飛んでもない='とんでもない'","unthinkable, unexpected, outrageous, offensive, terrible",I-adjective,Usually written using kana alone,,
,,"absolutely not!, not at all!, far from it!, impossible!, preposterous!, what a thing to say!, no way!, bullshit",,,,
,,"don't mention it, you're welcome",,,,
対抗,,,,,,
1,対抗='たいこう',"opposition, antagonism","Noun, Suru verb",,,
,,,,,,
2,対抗馬='たいこうば',a rival horse or candidate,Noun,,,
,,,,,,
3,対抗品='たいこうひん',"competing goods, rival products",Noun,,,
,,,,,,
4,対抗意識='たいこういしき',"(sense of) rivalry, competitiveness",Noun,Yojijukugo (four character compound),,
,,,,,,
5,対抗試合='たいこうじあい',"match, tournament, interschool match",Noun,,,
,,,,,,
6,対抗策='たいこうさく',"countermeasure, counter-measure",Noun,,,
,,,,,,
7,対抗措置='たいこうそち',countermeasure,Noun,,,
,,,,,,
8,対抗部隊='たいこうぶたい',opposing forces,Noun,,,
,,,,,,
9,対抗商品='たいこうしょうひん',competing product,Noun,Computer terminology,,
,,,,,,
10,対抗文化='たいこうぶんか',counterculture,Noun,,,
微か,,,,,,
1,"幽か='かすか', 微か='かすか'","faint, dim, weak, slight, vague, indistinct, hazy",Na-adjective,Usually written using kana alone,,
,,"poor, wretched, meagre, meager, scanty",,,,
空間,,,,,,
1,空間='くうかん',"space, room, airspace",Noun,,,
,,Space,,,,
,,,,,,
2,"空き間='あきま', 空間='あきま'","vacancy, room for rent or lease","Noun, No-adjective",,,
,,,,,,
3,空間識失調='くうかんしきしっちょう',"loss of equilibrium, vertigo",Noun,,,
,,Vertigo,,,,
,,,,,,
4,空間勾配='くうかんこうばい',spatial gradient,Noun,,,
,,,,,,
5,空間内='くうかんない',inside a space,Expression,,,
,,,,,,
6,空間性='くうかんせい',extensity,Noun,,時間性,
,,,,,,
7,空間感覚='くうかんかんかく',sense of space,Noun,,,
,,,,,,
8,空間充填='くうかんじゅうてん',space-filling,"Noun, No-adjective",Mathematics,,
,,,,,,
9,空間的関係='くうかんてきかんけい',spatial relation,Noun,,,
,,,,,,
10,空間的='くうかんてき',"spatial, space-like",Na-adjective,,,
少額,,,,,,
1,"小額='しょうがく', 少額='しょうがく'","small sum (e.g. of money), small denomination","Noun, No-adjective",,,
比喩,,,,,,
1,"譬諭='ひゆ, けいゆ', 比諭='ひゆ', 比喩='ひゆ', 譬喩='ひゆ, けいゆ', 比ゆ='ひゆ'","simile, metaphor, allegory, parable",Noun,,,
,,,,,,
2,比喩的='ひゆてき',figurative,Na-adjective,,,
,,,,,,
3,比喩表現='ひゆひょうげん',"figurative expression, metaphorical expression",Noun,linguistics terminology,,
思惑,,,,,,
1,"思わく='おもわく', 思惑='おもわく'","expectation, anticipation, prediction, forecast, calculations",Noun,,,
,,"purpose, intention, motive, ulterior motive",,,,
,,others' opinions of one,,,,
,,speculation,,,,
,,,,,,
